id,id2,group,pubauthor,pubeditor,pubeditor_type,pubdate,pubtitle,volume,pubshort,staff,publisher,pubplace,series,pp,size,isbn,issn,remark
"1","1.1.1/1","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.1. Általános értelmező (leíró) szótárak","CZUCZOR Gergely & FOGARASI János",–,–,"1862","A magyar nyelv szótára.","I. A–Ds.","CzF.",–,"Megjelent Emich Gusztáv Magyar Akadémiai Nyomdásznál","Pest",–,"1326 pp.","24 cm. 18857 címszó",–,–,"az 1327. oldalon: Nyomtatási nagyobb hibák és némely pótlékok."
"2","1.1.1/2","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.1. Általános értelmező (leíró) szótárak","CZUCZOR Gergely & FOGARASI János",–,–,"1864","A magyar nyelv szótára.","II. E–H.","CzF.",–,"Megjelent Emich Gusztáv Magyar Akadémiai Nyomdásznál","Pest",–,"1774 pp.","24 cm. 24262 címszó",–,–,"az 1775. oldalon: Nyomtatási nagyobb hibák és pótlékok."
"3","1.1.1/3","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.1. Általános értelmező (leíró) szótárak","CZUCZOR Gergely & FOGARASI JÁNOS",–,–,"1865","A magyar nyelv szótára.","III. I–Ly.","CzF.",–,"Megjelent Emich Gusztáv Magyar Akadémiai Nyomdásznál","Pest",–,"1584 pp.","24 cm. 19791 címszó",–,–,–
"4","1.1.1/4","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.1. Általános értelmező (leíró) szótárak","CZUCZOR Gergely & FOGARASI János",–,–,"1867","A magyar nyelv szótára.","IV. M–Ő.","CzF.",–,"Megjelent Emich Gusztáv Magyar Akadémiai Nyomdásznál","Pest",–,"1312 pp.","24 cm. 14513 címszó",–,–,"az 1311–1312. oldalakon: Nagyobb nyomdai hibák a IV. Kötetben."
"5","1.1.1/5","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.1. Általános értelmező (leíró) szótárak","CZUCZOR Gergely & FOGARASI János",–,–,"1870","A magyar nyelv szótára.",–,"CzF.",–,–,–,–,"1507 pp.","24 cm. 17719 címszó",–,–,"Athenaeum Irodalmi és Nyomdai R. Társulata, Pest. V. P–Sz. az 1507. oldalon: Nyomdai             nagyobb hibák az V. kötetben."
"6","1.1.1/6","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.1. Általános értelmező (leíró) szótárak","CZUCZOR Gergely & FOGARASI János",–,–,"1874","A magyar nyelv szótára.",–,"CzF.",–,–,–,–,"1282 pp.","24 cm. 15642 címszó",–,–,"Athenaeum Irodalmi és Nyomdai R. Társulata, Budapest. VI. T–Zs. az 1284–91.             oldalakon: Végszó , az 1292. oldalon: Nyomdai nagyobb hibák a VI-dik kötetben."
"7","1.1.1/7","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.1. Általános értelmező (leíró) szótárak","BALLAGI Mór",–,–,"1868–1873","A magyar nyelv teljes szótára.","I. Aa–K.","Ball.",–,"Franklin-Társulat","Budapest",–,"672 pp. ; II. Kár–pör–Z. Zsözsök. 775 pp.",–,–,–,"a 778. oldalon: Utószó. A II. kötet 1–288. lapjai 1868-ban, a kötet többi része             1873-ban jelent meg."
"8","1.1.1/8","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.1. Általános értelmező (leíró) szótárak","BALASSA József",–,–,"Balassa","A magyar nyelv szótára.","I. A–K.",–,–,"Grill Károly Könyvkiadóvállalata","Budapest",–,"465 pp. ; II. L–Zs. 392 pp.",–,–,–,–
"9","1.1.1/9","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.1. Általános értelmező (leíró) szótárak",–,–,–,"1959, vtlan leny.: 1966/2/, 1978/3/,             1984/4/, 1992/5/, 1997/6","A magyar nyelv értelmező szótára. Első kötet A–D.",–,"ÉrtSz.",–,"Akadémiai Kiadó","Budapest",–,"XXXI+1091 pp.","25 cm. 9462 önálló szócikk, 27 957 szótári adat, beleértve az utaló szókikkeket és a             szócikkek végén felsorolt értelmezetlen címszavakat","ISBN 9630562820 (1997)",–,"Szerkesztette a Magyar Tudományos Akadémia Nyelvtudományi Intézete BÁRCZI Géza és             ORSZÁGH László vezetésével. Szerk.: BALÁZS János, BÍRÓ Izabella, ELEKFI László, KELEMEN             József, KOVALOVSZKY Miklós, LENGYEL Lajos, MARTINKÓ András, O. NAGY Gábor, SZABADI Béla,             ÚJVÁRY Lajos. Belső munkatársak: ANTAL László, BAKOS Ferenc, BÁLINT Imre, BENCÉDY             József, BERCZELI A. Károly, BERRÁR Jolán, BÍRÓ Sándor, ÉBER János, FERENCZY Géza, FODOR             István, GALAMB Sándor, HEXENDORF Edit, H. NÉMETH Gyula, HORVÁTH Mária, KISS Lajos, KÓNYA             Sándor, KOZMA Éva, KÜRTI Pál, LAVOTHA Ödön, LOVÁNYI Gyula, MÁTÉ Károly, MÉSZÁROS             Henrietta, MOLNÁR József, NYIGRI Imre, PAPP László, PROHÁSZKA Lajos, PUTNOKI Imre,             RUZSICZKY Éva, SCHULTHEISZ Vincéné, SOLT Ferenc, SOLTÉSZ Katalin, SZABÓ Dénes, SZATHMÁRI             István, SZENCZI Miklós, SZŐKE István. Lektorok: ÁPRILY Lajos, DÉNES Szilárd, ERDEI             László, FÁBIÁN Pál, GÁLDI László, HADROVICS László, IMPLOM József, JÓKAY Zoltán,             KERESZTURY Dezső, KÖVES Béla, NAGY Lajos, ÖRKÉNY István, PROHÁSZKA János, RUBINYI Mózes,             SÁNDOR István, SEMETKAY József, TERESTYÉNI Ferenc, ZOLNAI Béla."
"10","1.1.1/10","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.1. Általános értelmező (leíró) szótárak",–,–,–,"1960, vtlan leny.: 1966/2/, 1978/3/,             1984/4/, 1992/5/, 1997/6","A magyar nyelv értelmező szótára. Második kötet E–Gy.",–,"ÉrtSz.",–,"Akadémiai Kiadó","Budapest",–,"1137 pp.","25 cm. 9246 önálló szócikk, 30 246 szótári adat","ISBN 963054248X (1997)",–,"Szerkesztette a Magyar Tudományos Akadémia Nyelvtudományi Intézete. Részletesen l.             az I. kötetnél."
"11","1.1.1/11","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.1. Általános értelmező (leíró) szótárak",–,–,–,"1960, vtlan leny.: 1966/2/, 1978/3/,             1984/4/, 1992/5/, 1997/6","A magyar nyelv értelmező szótára. Harmadik kötet H–Kh.",–,"ÉrtSz.",–,"Akadémiai Kiadó","Budapest",–,"939 pp.","25 cm. 7241 önálló szócikk, 20 097 szótári adat","ISBN 9630542498 (1997)",–,"Szerkesztette a Magyar Tudományos Akadémia Nyelvtudományi Intézete. Részletesen l.             az I. kötetnél."
"12","1.1.1/12","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.1. Általános értelmező (leíró) szótárak",–,–,–,"1961, vtlan leny.: 1966/2/, 1978/3/,             1984/4/, 1992/5/, 1997/6","A magyar nyelv értelmező szótára. Negyedik kötet Ki–Mi.",–,–,–,"Akadémiai Kiadó","Budapest",–,"1347 pp.","25 cm. 10 295 önálló szócikk, 34 389 szótári adat","ISBN 9630545608 (1997)",–,"Szerkesztette a Magyar Tudományos Akadémia Nyelvtudományi Intézete. Részletesen l.             az I. kötetnél."
"13","1.1.1/13","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.1. Általános értelmező (leíró) szótárak",–,–,–,"1961, vtlan leny.: 1966/2/, 1978/3/,             1984/4/, 1992/5/, 1997/6","A magyar nyelv értelmező szótára. Ötödik kötet Mo–S.",–,"ÉrtSz.",–,"Akadémiai Kiadó","Budapest",–,"1315 pp.","25 cm. 10 342 önálló szócikk, 34 930 szótári adat","ISBN 9630545616 (1997)",–,"Szerkesztette a Magyar Tudományos Akadémia Nyelvtudományi Intézete. Részletesen l.             az I. kötetnél."
"14","1.1.1/14","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.1. Általános értelmező (leíró) szótárak",–,–,–,"1962, vtlan leny.: 1966/2/, 1978/3/,             1984/4/, 1992/5/, 1997/6","A magyar nyelv értelmező szótára. Hatodik kötet Sz–Ty.",–,"ÉrtSz.",–,"Akadémiai Kiadó","Budapest",–,"883 pp.","25 cm. 6695 önálló szócikk, 22 436 szótári adat","ISBN 9630562804 (1997)",–,"Szerkesztette a Magyar Tudományos Akadémia Nyelvtudományi Intézete. Részletesen l.             az I. kötetnél."
