isbn,pubtitle,pubshort,publisher,pubplace,pubdate
,"A magyar nyelv szótára.","CzF.","Megjelent Emich Gusztáv Magyar Akadémiai Nyomdásznál","Pest","1862"
,"A magyar nyelv szótára.","CzF.","Megjelent Emich Gusztáv Magyar Akadémiai Nyomdásznál","Pest","1864"
,"A magyar nyelv szótára.","CzF.","Megjelent Emich Gusztáv Magyar Akadémiai Nyomdásznál","Pest","1865"
,"A magyar nyelv szótára.","CzF.","Megjelent Emich Gusztáv Magyar Akadémiai Nyomdásznál","Pest","1867"
,"A magyar nyelv szótára.","CzF.",,,"1870"
,"A magyar nyelv szótára.","CzF.",,,"1874"
,"A magyar nyelv teljes szótára.","Ball.","Franklin-Társulat","Budapest","1868–1873"
,"A magyar nyelv szótára.",,"Grill Károly Könyvkiadóvállalata","Budapest","Balassa"
"ISBN 9630562820 (1997)","A magyar nyelv értelmező szótára. Első kötet A–D.","ÉrtSz.","Akadémiai Kiadó","Budapest","1959, vtlan leny.: 19662, 19783,             19844, 19925, 19976"
"ISBN 963054248X (1997)","A magyar nyelv értelmező szótára. Második kötet E–Gy.","ÉrtSz.","Akadémiai Kiadó","Budapest","1960, vtlan leny.: 19662, 19783,             19844, 19925, 19976"
"ISBN 9630542498 (1997)","A magyar nyelv értelmező szótára. Harmadik kötet H–Kh.","ÉrtSz.","Akadémiai Kiadó","Budapest","1960, vtlan leny.: 19662, 19783,             19844, 19925, 19976"
"ISBN 9630545608 (1997)","A magyar nyelv értelmező szótára. Negyedik kötet Ki–Mi.",,"Akadémiai Kiadó","Budapest","1961, vtlan leny.: 19662, 19783,             19844, 19925, 19976"
"ISBN 9630545616 (1997)","A magyar nyelv értelmező szótára. Ötödik kötet Mo–S.","ÉrtSz.","Akadémiai Kiadó","Budapest","1961, vtlan leny.: 19662, 19783,             19844, 19925, 19976"
"ISBN 9630562804 (1997)","A magyar nyelv értelmező szótára. Hatodik kötet Sz–Ty.","ÉrtSz.","Akadémiai Kiadó","Budapest","1962, vtlan leny.: 19662, 19783,             19844, 19925, 19976"
"ISBN 9630562812 (1997)","A magyar nyelv értelmező szótára. Hetedik kötet. U–Zs.","ÉrtSz.","Akadémiai Kiadó","Budapest","1962, vtlan leny.: 19662, 19783,             19844, 19925, 19976"
"ISBN 963056212X (19929)","Magyar értelmező kéziszótár.","ÉKsz.","Akadémiai Kiadó","Budapest","1972, vtlan leny.: 19752, 19835,             19856, 19877, 19898,             19929"
"ISBN 9630564130","Képes diákszótár 14000 címszóban.",,"Akadémiai Kiadó","Budapest","1992"
"ISBN 9630580241","Magyar értelmező kéziszótár","ÉKsz.","Akadémiai Kiadó","Budapest","2003, második átdolg. kiad."
,"Magyar értelmező kéziszótár CDvel.",,"Akadémiai Kiadó","Budapest","20032 átdolg. kiad."
